diet,title,recipe_id
Vegetarian ,Cannellini Bean and Asparagus Salad with Mushrooms,782585
Vegetarian ,Berry Banana Breakfast Smoothie,715497
Vegetarian ,Asparagus and Pea Soup: Real Convenience Food,716406
Vegetarian ,Garlicky Kale,644387
Vegetarian ,Red Kidney Bean Jambalaya,782601
Vegetarian ,"Cauliflower, Brown Rice, and Vegetable Fried Rice",716426
Vegetarian ,Hummus and Za'atar,766453
Vegetarian ,Easy Homemade Rice and Beans,716627
Vegetarian ,Tuscan White Bean Soup with Olive Oil and Rosemary,664147
Vegetarian ,Crunchy Brussels Sprouts Side Dish,640941
Vegetarian ,Broccoli and Chickpea Rice Salad,794349
Vegetarian ,Broccolini Quinoa Pilaf,715769
Vegetarian ,Farro With Mushrooms and Asparagus,642605
Vegetarian ,Herbivoracious' White Bean and Kale Soup,646738
Vegetarian ,Summer Berry Salad,715540
Vegetarian ,Tomato and lentil soup,663559
Vegetarian ,Swiss Chard Wraps,662670
Vegetarian ,Corn Avocado Salsa,640062
Vegetarian ,Finger Foods: Frittata Muffins,716432
Vegetarian ,Spicy Black-Eyed Pea Curry with Swiss Chard and Roasted Eggplant,798400
Vegetarian ,Quinoa Salad with Vegetables and Cashews,782600
Vegetarian ,Moroccan chickpea and lentil stew,652417
Vegetarian ,Citrusy Pecan Garbanzo Couscous: A Salad For Cold Weather,639535
Vegetarian ,Strawberry-Mango Quinoa Salad,661925
Vegetarian ,Lentil Salad With Vegetables,649931
Vegetarian ,Moroccan Couscous and Chickpea Salad,652423
Vegetarian ,Homemade Guacamole,715543
Vegetarian ,"Spicy Salad with Kidney Beans, Cheddar, and Nuts",157344
Vegetarian ,Roasted Broccoli with Lemon and Garlic,658509
Vegetarian ,Spicy Indian-Style Hummus,716195
Vegetarian ,Snap Pea and Green Bean Salad with Arugula Pesto,765011
Vegetarian ,Vegetable Dip,664547
Vegetarian ,Curried Butternut Squash and Apple Soup,641057
Vegetarian ,Amaranth and Roast Veggie Salad,632269
Vegetarian ,Carrot and Cabbage Salad With Coriander+cumin Dry Rub,637162
Vegetarian ,Instant Pot Quinoa Grain Bowl,982371
Vegetarian ,Roasted Cauliflower Detox Bowl with Tahini Sauce,1095753
Vegetarian ,Smoky Black Bean Soup With Sweet Potato & Kale,660405
Vegetarian ,Alouette® Stuffed Mushroom Caps,632252
Vegetarian ,Easy Roasted Vegetables,642085
Vegetarian ,Chilled Cucumber Avocado Soup with Yogurt and Kefir,716437
Vegetarian ,Butternut Squash Soup (In Half An Hour!),636602
Vegetarian ,Doughnuts,716276
Vegetarian ,Lentil Mango Salad,649944
Vegetarian ,Gujarati Dry Mung Bean Curry,646043
Vegetarian ,Basil Tagliatelle with Roasted Red Bell Pepper Salad,634437
Vegetarian ,Moosewood Lentil Soup,652393
Vegetarian ,Broccoli Tartar,636228
Vegetarian ,Broccoli with cheese soup,636230
Vegetarian ,Balsamic Roasted Vegetables,633942
Ketogenic,Finger Foods: Frittata Muffins,716432
Ketogenic,Almond Joy Protein Shake,794538
Ketogenic,Salmon Caesar Salad,646512
Ketogenic,Chimichurri Skirt Steak with Grilled Asparagus,638626
Ketogenic,Chicken Liver Salad,638166
Ketogenic,Chicken Suya,716342
Ketogenic,Salmon Confit with Lemongrass Sauce,659060
Ketogenic,Stuffed Salmon With Tomato-Olive Tapenade,662087
Ketogenic,Steak Salad with Chimichurri Sauce,1096025
Ketogenic,Flank Steak with Herbed Salsa,643061
Ketogenic,Pork Chops with Garlic Cream,656752
Ketogenic,Stinging Nettle Pesto,661645
Ketogenic,Lamb Tagine Stew,649248
Ketogenic,Cedar-Planked Salmon With Mustard Dill Sauce,637335
Ketogenic,Spicy Lump Crab and Avocado Salad,661126
Ketogenic,Classic Basil Pesto Sauce,639564
Ketogenic,A Chimichurri You'll Want to Put on Everything,1697773
Ketogenic,Slow Cooker Rosemary Whole Chicken,715525
Ketogenic,Pan Seared Lamb Loin With Chimichurri & Roasted Trio Squash Salad With Goat Cheese and Pinenuts,654432
Ketogenic,Kale Chips with Parmesan Cheese and Garlic,1096277
