recipe_id,calories,carbs,fat,protein
782585,495,81g,6g,32g
715497,457,73g,9g,20g
716406,452,70g,8g,26g
644387,169,7g,14g,2g
782601,392,69g,6g,18g
716426,220,34g,6g,9g
766453,778,100g,30g,33g
716627,445,86g,4g,19g
664147,242,43g,1g,16g
640941,231,19g,15g,7g
794349,354,55g,9g,15g
715769,625,71g,30g,19g
642605,365,61g,9g,12g
646738,331,46g,9g,16g
715540,97,22g,1g,2g
663559,340,50g,8g,18g
662670,137,8g,11g,3g
640062,237,26g,15g,4g
716432,654,12g,44g,49g
798400,128,23g,2g,6g
782600,348,22g,27g,8g
652417,465,82g,7g,20g
639535,613,101g,18g,15g
661925,372,50g,17g,8g
649931,340,46g,11g,15g
652423,486,54g,25g,14g
715543,170,10g,14g,2g
157344,719,51g,49g,26g
658509,58,8g,2g,3g
716195,133,15g,6g,5g
765011,314,21g,22g,12g
664547,268,44g,4g,18g
641057,134,23g,2g,7g
632269,380,48g,18g,10g
637162,224,32g,10g,6g
982371,415,69g,9g,16g
1095753,548,63g,29g,18g
660405,554,102g,7g,23g
632252,30,5g,0.45g,1g
642085,360,75g,4g,9g
716437,188,24g,7g,8g
636602,251,42g,6g,8g
716276,430,91g,2g,11g
649944,272,44g,6g,12g
646043,375,66g,5g,19g
634437,211,25g,12g,6g
652393,403,68g,3g,25g
636228,256,44g,6g,11g
636230,120,13g,5g,7g
633942,289,38g,14g,4g
716432,654,12g,44g,49g
794538,583,18g,49g,27g
646512,393,7g,28g,26g
638626,409,11g,29g,26g
638166,613,10g,42g,44g
716342,564,21g,35g,43g
659060,865,24g,67g,46g
662087,634,18g,43g,43g
1096025,474,15g,33g,29g
643061,300,4g,19g,25g
656752,747,16g,50g,53g
661645,90,4g,6g,3g
649248,1038,44g,71g,55g
637335,283,3g,19g,23g
661126,507,21g,38g,25g
639564,731,19g,62g,30g
1697773,997,9g,86g,47g
715525,660,10g,43g,55g
654432,491,6g,43g,20g
1096277,162,6g,12g,7g
1095693,142,8g,11g,2g
641220,493,13g,35g,31g
1095689,509,8g,39g,33g
1096265,882,24g,68g,44g
651034,505,8g,32g,44g
715432,798,10g,65g,40g
640311,413,12g,31g,23g
715521,382,11g,30g,20g
657178,427,20g,30g,24g
1046983,527,22g,26g,53g
716338,732,34g,53g,34g
643428,322,10g,22g,22g
716427,638,12g,46g,41g
650377,1043,22g,82g,54g
661948,1003,38g,66g,63g
659058,537,14g,34g,39g
1697585,1021,32g,83g,42g
650112,693,21g,46g,54g
645673,400,16g,25g,29g
1096276,416,12g,29g,27g
1697813,667,18g,41g,56g
650487,971,30g,75g,44g
1096261,512,5g,35g,41g
650225,663,8g,49g,43g
471242,963,23g,79g,42g
645961,465,11g,35g,24g
649131,478,12g,34g,32g
716296,401,8g,27g,30g
654476,700,6g,59g,36g
654663,829,20g,63g,40g
782585,495,81g,6g,32g
716406,452,70g,8g,26g
644387,169,7g,14g,2g
782601,392,69g,6g,18g
716426,220,34g,6g,9g
766453,778,100g,30g,33g
716627,445,86g,4g,19g
664147,242,43g,1g,16g
794349,354,55g,9g,15g
715769,625,71g,30g,19g
646738,331,46g,9g,16g
715540,97,22g,1g,2g
663559,340,50g,8g,18g
662670,137,8g,11g,3g
640062,237,26g,15g,4g
798400,128,23g,2g,6g
782600,348,22g,27g,8g
652417,465,82g,7g,20g
639535,613,101g,18g,15g
649931,340,46g,11g,15g
652423,486,54g,25g,14g
715543,170,10g,14g,2g
658509,58,8g,2g,3g
716195,133,15g,6g,5g
641057,134,23g,2g,7g
632269,380,48g,18g,10g
637162,224,32g,10g,6g
982371,415,69g,9g,16g
1095753,548,63g,29g,18g
632252,30,5g,0.45g,1g
642085,360,75g,4g,9g
636602,251,42g,6g,8g
649944,272,44g,6g,12g
646043,375,66g,5g,19g
634437,211,25g,12g,6g
652393,403,68g,3g,25g
636228,256,44g,6g,11g
633942,289,38g,14g,4g
649886,368,64g,3g,22g
649411,212,18g,15g,4g
647634,392,45g,20g,12g
633226,139,12g,8g,6g
633711,241,49g,1g,10g
655573,466,82g,8g,14g
641387,452,60g,14g,20g
661122,202,38g,1g,10g
1697645,455,42g,30g,14g
654905,609,111g,7g,23g
657698,396,50g,18g,10g
642121,716,74g,44g,14g
