diet,title,recipe_id
Pescetarian,Easy To Make Spring Rolls,642129
Pescetarian,Jade Buddha Salmon Tartare,648320
Pescetarian,Plantain Salad,729366
Pescetarian,"Greek-Style Baked Fish: Fresh, Simple, and Delicious",716408
Pescetarian,Salmon with roasted vegetables,659135
Pescetarian,Balsamic & Honey Glazed Salmon with Lemony Asparagus,633921
Pescetarian,Crab Salad Stuffed Pita Pockets,640318
Pescetarian,Crispy Panko and Herb Crusted Salmon,640828
Pescetarian,Filet Mignon Soft Tacos,715533
Pescetarian,Cilantro Lime Halibut,639411
Pescetarian,Shrimp and Avocado Salad,659927
Pescetarian,Salmon Quinoa Risotto,659109
Pescetarian,Corn-Crusted Fish Tacos With Jalapeno-Lime Sauce and Spicy Black Beans,640117
Pescetarian,"Salmon, Watercress, Fennel and Baby Beetroot Salad With Lemony ""Caviar"" Dressing",659143
Pescetarian,Salmon Caesar Salad,646512
Pescetarian,Winter Kimchi,665379
Pescetarian,Pasta With Tuna,654959
Pescetarian,Crab Stacks,640321
Pescetarian,Italian Tuna Pasta,648279
Pescetarian,Soy Ginger Glazed Halibut with Ginger Peach Relish,660736
Pescetarian,Rainbow trout with basil pea puree,657747
Pescetarian,Smoked Salmon Eggs Benedict With Lemon Dill Hollandaise,660368
Pescetarian,Delicious Pan Fried Trout,715554
Pescetarian,Baked Lemon Salmon,1096260
Pescetarian,Spice-Rubbed Lemon Barbecue Salmon,660926
Pescetarian,Thai-Style Mussels,663177
Pescetarian,Feta Encrusted Salmon,642619
Pescetarian,Salmon on Kiwi & Lemon Puree,659092
Pescetarian,Sockeye Salmon on Kiwi & Lemon Puree,660490
Pescetarian,Sweet-N-Smoky Salmon With Ginger Mahogany Rice,662654
Pescetarian,Salmon Confit with Lemongrass Sauce,659060
Pescetarian,Mussels With Tomatoes and Fennel,652775
Pescetarian,Southern Fried Catfish,660697
Pescetarian,Spanish style salmon fillets,1095806
Pescetarian,Salmon & Vegetables En Papillote,659035
Pescetarian,"Broccoli Rabe with Tomatoes, Anchovies & Spaghetti",636212
Pescetarian,Asian Coleslaw with Baked Salmon,632822
Pescetarian,Stuffed Salmon With Tomato-Olive Tapenade,662087
Pescetarian,Grilled Salmon Salad With Blood Orange Cilantro Vinaigrette,645849
Pescetarian,Crab Cakes Eggs Benedict,640275
Pescetarian,Thai Street Vendor Salmon Skewers,663157
Pescetarian,"Grilled Salmon With Cherry, Pineapple, Mango Salsa",645856
Pescetarian,Grilled Fish With Sun Dried Tomato Relish,645714
Pescetarian,Thai Fish Cakes,663108
Pescetarian,Salmon Cold Noodle Bowl,659062
Pescetarian,Pan-Seared Honey Glazed Salmon with Collard Greens,1697553
Pescetarian,Bigoli with smoked salmon,634972
Pescetarian,Stir-Fry Water Spinach With Shrimp Paste (Belacan Kangkung),661704
Pescetarian,Pan Seared Salmon,654435
Pescetarian,Lamb and Rice Noodle Stir Fry,649187
Pescetarian,Baked Salt Cod,633774
Pescetarian,Seared Ahi Tuna Salad,13073
Pescetarian,Fish Pie With Fresh and Smoked Salmon,642977
Pescetarian,Ginger Garlic Chili Salmon,644581
Pescetarian,Cavatappi pasta with salmon crab surimi,637325
Pescetarian,Curry Mussels,641128
Pescetarian,Italian Seafood Stew,648247
Pescetarian,San Francisco Cioppino,659237
Pescetarian,Italian String Beans With Anchovies and Breadcrumbs,648259
Pescetarian,Chilled Avocado and Cucumber Soup With Prawn and Scallop Salsa,638588
Pescetarian,Crispy-Crowned Guacamole Fish Fillets,157399
Pescetarian,Maple and Mustard-Glazed Salmon,650878
Pescetarian,Mediterranean-inspired Tuna Almond Whole-wheat Spaghetti,1095769
Pescetarian,Quinoa Tabouli with Lemon Garlic Grilled Shrimp,657689
Pescetarian,Skye Gyngell's Anchovy and Walnut Sauce,660237
Pescetarian,Kimchi/Kimchee/Gimchi (Korean Fermented Spicy Cabbage),648916
Pescetarian,Grilled Fish Tacos with Spicy Tequila-Lime Guacamole,645711
Pescetarian,Grilled Salmon With Mango Salsa,645863
Pescetarian,Green Beans with Pearl Onions and Salmon,645418
Pescetarian,Japanese Sushi,648506
Pescetarian,Super Easy Oven Baked Cod,1697677
Pescetarian,"Salmon with Lime Crust, Peas, and Sweet Potatoes",1095872
Pescetarian,Blood Orange Sesame Salmon,635317
Pescetarian,Cedar-Planked Salmon With Mustard Dill Sauce,637335
Pescetarian,Salmon Butternut Squash Corn Chowder,659056
Pescetarian,Salmon Frittata,659081
Pescetarian,Tex-Mex Tilapia Bowl,663051
Pescetarian,Spicy Lump Crab and Avocado Salad,661126
Pescetarian,Salmon In Banana Leaf,659083
Pescetarian,Thai Pasta Salad,663126
Pescetarian,Pad Se Ew Tofu With Vegetable Noodles,654318
Pescetarian,Steamed Halibut,661570
Pescetarian,Baked Almond-Crusted Cod With Sauteed Bok Choy and Bell Peppers,1096224
Pescetarian,Wasabi & Honey Glazed-Salmon,664975
Pescetarian,Thai Tofu With Bok Choy,663166
Pescetarian,Cod and Potato Oreganata,639840
Pescetarian,Soy Ginger Glazed Sea Scallops With Stir Fry Vegetables,660737
Pescetarian,"Linguine with Prawns, Fresh Tomatoes and Spinach",650139
Pescetarian,Assam Fish Curry,632983
Pescetarian,Almond Crusted Salmon Fillets with Roasted Broccolini,632122
Pescetarian,"Cod with tomatoes, olives and polenta",639850
Pescetarian,Roasted Butternut Squash and Sage Dip,658518
Pescetarian,Mushroom Tarragon Fish,652708
Pescetarian,"Grilled Peppers With Anchovies, Feta Cheese and Spaghetti",645795
Pescetarian,Garlic Oregano Olive Tapenade,1095689
Pescetarian,Mussels Marinated In Oil and Herbs,652759
Pescetarian,Thai Green Mango Salad,663113
Pescetarian,Chiquetaille: Cod Fish Salad,638772
Pescetarian,Classic French Mussels,639599
Pescetarian,Baked Salmon With Lime,633779
Primal,Asparagus and Pea Soup: Real Convenience Food,716406
Primal,Garlicky Kale,644387
Primal,Crunchy Brussels Sprouts Side Dish,640941
Primal,Summer Berry Salad,715540
Primal,Swiss Chard Wraps,662670
Primal,Jade Buddha Salmon Tartare,648320
Primal,Finger Foods: Frittata Muffins,716432
Primal,Homemade Guacamole,715543
Primal,Roasted Broccoli with Lemon and Garlic,658509
Primal,Snap Pea and Green Bean Salad with Arugula Pesto,765011
Primal,Spinach Salad with Strawberry Vinaigrette,661340
Primal,Vegetable Dip,664547
Primal,"Roasted Endive Salad With Prosciutto, Figs and Pistachios",658579
Primal,Carrot and Cabbage Salad With Coriander+cumin Dry Rub,637162
